employee_id,name,average_rating,total_working_hours,total_orders,average_tip
E20,"Jordan Ortiz",5.0000,57834,18,4.1
E28,"Rebecca Lewis",4.5000,96,4,4.699999999999999
E43,"Laura Walker",4.0000,12397,49,4.541428571428571
E46,"Gregory Lane",4.0000,7088,8,1.0899999999999999
E7,"James Ferguson",3.7500,33696,16,3.3025
E36,"Michael Huang",3.7143,11424,28,7.1499999999999995
E45,"William Lewis",3.6667,17430,15,5.281999999999999
E27,"Michelle Davila",3.5000,41984,8,7.982500000000001
E9,"Tara Hensley",3.5000,2600,8,6.7625
E5,"Angela Wagner",3.4000,6880,20,3.2050000000000005
E6,"David Hodge",3.3333,2712,12,4.9375
E48,"Glenda Morrison",3.2500,21520,16,5.435000000000001
E41,"Rebecca Garza",3.2500,7672,28,4.432857142857144
E31,"Robert Lewis",3.2500,2460,20,6.134000000000001
E4,"Joseph Peterson",3.2000,29775,25,6.843999999999999
E50,"Anthony Martinez",3.0000,61290,18,6.858333333333334
E25,"Robert Green",3.0000,16935,5,5.99
E19,"Jessica Pope",3.0000,4572,12,3.94
E15,"Damon Parker",3.0000,3936,12,6.033333333333334
E3,"Noah Chavez",3.0000,3000,12,6.5
E33,"Denise Rodriguez",3.0000,2618,14,4.514285714285714
E42,"Julia Carlson",3.0000,2360,5,4.286
E32,"Brandon Taylor",3.0000,2184,12,3.0600000000000005
E30,"Kayla Hernandez",3.0000,441,9,3.8600000000000003
E22,"Edgar Miles",2.8333,133590,30,6.316
E17,"Robert Levine",2.8000,7095,15,3.9833333333333334
E40,"Joel Bass",2.8000,660,20,6.337499999999999
E12,"Jessica Gregory",2.7500,5824,32,6.457500000000001
E10,"Kimberly Miller",2.6667,39474,18,6.175000000000001
E14,"Joseph Walker",2.6667,1617,21,5.247142857142857
E1,"Heather Pollard",2.6667,390,6,5.87
E23,"Heather Hicks",2.6250,688,8,7.72
E18,"Lisa Moore",2.6000,52975,25,5.9239999999999995
E13,"Brittany Scott",2.5000,7336,8,2.6999999999999997
E29,"Phillip Russell",2.5000,4000,16,4.1275
E38,"Austin Obrien",2.5000,2960,20,4.162000000000001
E16,"Eric Zimmerman",2.5000,2000,16,5.855
E49,"Mr. Michael Pearson",2.3333,5400,12,3.49
E8,"Dorothy Young",2.0000,38608,16,5.4225
E11,"Denise Andrews",2.0000,1668,6,5.8500000000000005
E21,"Eric Douglas",2.0000,714,6,3.8766666666666665
E34,"Theresa Fowler",1.6667,81915,15,2.6119999999999997
E44,"Marissa Cook",1.6667,3978,18,4.703333333333333
E2,"Jonathan Palmer",1.5000,11700,6,4.476666666666667
E26,"Daniel Hernandez",1.3333,27972,9,5.626666666666667
E35,"James Johnston",1.0000,1506,2,5.455
