customer_id,name,email,contact_number,address,zip_code,dob,joined_date
C1,Latoya Olson,markrhodes@example.com,7232256455,"8253 Williams Brook, East Lisa, MT 52228",79802,1972-03-02,2019-11-18
C2,Brandon Hernandez,christine49@example.net,6293677774,"63789 William Mill Apt. 726, Rowefort, FM 15737",82235,1976-03-21,2022-02-01
C3,Natasha Mcmillan,hunterlindsey@example.com,7997095370,"USCGC Nolan, FPO AE 02293",79856,1974-09-25,2019-03-04
C4,Abigail Gross,lisawade@example.net,3551157403,"7737 Jennifer Freeway Apt. 472, Jeffreyburgh, WI 09889",66732,1957-12-24,2019-02-11
C5,April Delgado,qsmith@example.com,2389874701,"247 Howard Causeway, Ericberg, OH 85084",45360,1965-04-15,2020-09-21
C6,Ashley Mckinney,hannah93@example.org,2065886073,"8059 Molly Mountains, West Michellechester, PR 81212",80603,1991-08-15,2018-05-22
C7,Ruth Gonzales,rebecca92@example.net,2888892380,"10213 Brown Trail, Rickborough, PW 14124",21642,1999-06-15,2019-01-27
C8,Stephanie Griffin,justinhall@example.net,1010791980,"55833 Roberta Pike, Lake Jasonport, PR 39115",49362,1956-08-23,2022-11-25
C9,Tiffany Stewart,ubennett@example.net,2890044339,"92592 David Prairie Apt. 642, West Amberburgh, MN 40719",51520,1963-04-22,2021-02-09
C10,Eddie Braun,elizabeth79@example.net,0164796789,"49318 Shea Row Apt. 014, South Ernest, WV 92495",48646,1958-04-15,2022-11-26
C11,Leslie Mathis,wjefferson@example.com,0864634169,"58626 Mary Ports, Vanessaland, AZ 14393",27844,1980-08-28,2020-04-27
C12,Stephanie Brown,larsonbrian@example.com,8534435517,"626 Brooke Lodge Suite 768, Loriland, WA 80267",52576,1995-04-16,2018-11-13
C13,Lucas Dunn,griffinalexander@example.com,2702523376,"4775 Livingston Common Suite 351, Garciamouth, IL 98670",59895,1966-11-08,2018-11-06
C14,Jose Wolfe,khughes@example.org,5786143238,"59346 Blake Ports, West Markport, LA 70496",57461,1971-12-14,2018-10-10
C15,Lisa Sosa,tanyahenry@example.org,7329673624,"0395 James Valley, Rodriguezport, CT 14942",51822,1964-11-24,2018-05-04
C16,David Patterson,nancy73@example.org,3191287085,"7215 Thomas Burgs Suite 403, South Charlesshire, NE 54291",80603,1978-10-19,2021-12-10
C17,Kristen Lowe,hcline@example.net,1697496947,"3163 Weber Avenue Apt. 883, Martinezport, WY 21623",71518,1976-11-17,2022-05-04
C18,Jackie Martin,davidchavez@example.com,0122529640,"1894 Jeff Trail Apt. 737, Port Latoyaview, TN 53642",51520,1961-04-22,2019-01-28
C19,Joseph Kemp,cheyennemunoz@example.com,5710032641,"185 Clark Mission, Haleyfurt, ID 56431",77405,1999-01-06,2018-05-28
C20,Sheila Tate,kpeterson@example.net,2763295398,"969 Rodriguez Glens, East Victorfort, CO 38047",27844,1954-12-19,2020-12-29
C21,Matthew Webb,codyreilly@example.net,0037130521,"9023 Samuel Parks, Jamiefurt, MD 03614",93734,1971-03-21,2022-09-16
C22,Theresa Sloan,qjohnson@example.com,2422132326,"4774 Koch Forest, West Tristanmouth, MH 62947",77719,1992-11-03,2020-06-13
C23,Joseph Hart,lbrown@example.com,1381666783,"47271 Mendoza Square Suite 633, West Brittanyburgh, KS 75133",72599,2003-10-21,2023-03-14
C24,Chelsea Davis,brittany35@example.org,6071137419,"2510 Bryan Views, Port Linda, DC 89804",62174,1957-02-09,2020-08-03
C25,Gregory Le,treynolds@example.com,7921031385,"36152 Lucas Tunnel, Nathanielfort, GA 81930",89266,1998-08-30,2018-07-06
C26,Jeffrey Camacho,janice70@example.net,0831154943,"8711 Mueller Mountains Suite 984, North Amyhaven, MP 47935",71385,1977-09-24,2022-01-27
C27,Ryan Brown,wilsonmorgan@example.net,5503485907,"1376 Jackson Wall, South Andreatown, OK 38765",27844,2000-01-22,2021-04-27
C28,Micheal Allen,juliearnold@example.org,3285636182,"962 Veronica Green, Ericachester, WA 43675",04631,1976-03-11,2020-01-18
C29,Kathryn Powell,zmeyer@example.com,4250974729,"04262 Molina Shoals, North Eric, VT 70371",98156,1964-06-25,2019-12-16
C30,James Abbott,hunteranna@example.org,0922106948,"Unit 5012 Box 7504, DPO AP 04735",35066,1973-02-22,2018-05-24
C31,Jeanette Taylor,bethanywilliams@example.net,4528578975,"684 Jonathan Squares Apt. 935, South Stephen, DC 07181",90811,1993-10-05,2018-08-08
C32,Christopher Stein,joe98@example.org,6919224816,"64650 Danielle Valleys Suite 944, New Michael, PA 42476",79627,1995-03-08,2022-01-24
C33,Amanda Coleman,zswanson@example.org,2725260157,"98034 Carson Lights, South Markfort, VT 18536",99202,1997-11-07,2020-01-30
C34,Christopher Reyes,danielheather@example.org,3988599091,"057 Davis Stream, Chelseafort, PW 08768",87500,1994-11-02,2022-07-27
C35,Michael Sanders,kristen38@example.com,1925432688,"481 Mason Rapid Suite 953, Davidmouth, MP 88585",37578,1983-09-29,2021-08-20
C36,Lauren Watson,lindamitchell@example.net,8441999198,"575 Gutierrez Drives, Rachelberg, VA 11066",87402,1965-07-17,2021-07-13
C37,Jose Harris,vfisher@example.com,9048367330,"10810 Michael Island, Jennyburgh, OR 06793",95479,1977-04-26,2021-11-23
C38,Carol Mercado,rodney81@example.com,1888157013,"808 Jared Glen Suite 535, New Meganshire, MD 34067",06394,1967-01-25,2019-07-02
C39,Antonio Mitchell,odonnelllisa@example.org,5900233789,"PSC 2946, Box 7628, APO AE 97739",60550,1979-09-14,2023-02-18
C40,Sandra Hughes,morgancooke@example.com,7236553655,"PSC 5814, Box 0183, APO AA 21582",86237,1957-03-19,2021-04-27
C41,Samantha Chase,johnnelson@example.net,2699144190,"283 Andrea Stream Apt. 946, Port Brendaville, MD 79779",55492,1954-01-17,2020-09-19
C42,Larry Mills,ksnyder@example.org,0984677821,"818 Carr Common, New Robertmouth, OH 22449",87170,1986-11-14,2020-01-27
C43,William Ruiz,bradleyhernandez@example.org,7367948024,"5058 Gregory Lodge, South Jacqueline, MS 03143",13104,1953-05-11,2021-10-11
C44,Julie Khan,gloverrodney@example.com,6058238939,"843 Angelica Circle, Cameronside, OK 69535",14811,1995-02-02,2023-03-09
